timestamp, index, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/18 16:07:49.860, 0, 1785 MHz, 2619 MHz, 82.64 W, 0 %, 595 MiB
2026/09/18 16:07:49.960, 0, 1785 MHz, 2619 MHz, 85.44 W, 0 %, 595 MiB
2026/09/18 16:07:50.060, 0, 1785 MHz, 2619 MHz, 88.25 W, 0 %, 595 MiB
2026/09/18 16:07:50.160, 0, 1785 MHz, 2619 MHz, 91.58 W, 0 %, 595 MiB
2026/09/18 16:07:50.261, 0, 1785 MHz, 2619 MHz, 92.74 W, 0 %, 595 MiB
2026/09/18 16:07:50.361, 0, 1785 MHz, 2619 MHz, 92.47 W, 0 %, 595 MiB
2026/09/18 16:07:50.461, 0, 1785 MHz, 2619 MHz, 92.12 W, 1 %, 693 MiB
2026/09/18 16:07:50.561, 0, 1785 MHz, 2619 MHz, 91.86 W, 1 %, 693 MiB
2026/09/18 16:07:50.661, 0, 1785 MHz, 2619 MHz, 91.87 W, 0 %, 693 MiB
2026/09/18 16:07:50.761, 0, 1785 MHz, 2619 MHz, 91.82 W, 0 %, 693 MiB
2026/09/18 16:07:50.862, 0, 1785 MHz, 2619 MHz, 91.84 W, 0 %, 693 MiB
2026/09/18 16:07:50.964, 0, 1785 MHz, 2619 MHz, 91.83 W, 0 %, 693 MiB
2026/09/18 16:07:51.065, 0, 1785 MHz, 2619 MHz, 91.84 W, 0 %, 693 MiB
2026/09/18 16:07:51.165, 0, 1785 MHz, 2619 MHz, 91.85 W, 0 %, 693 MiB
2026/09/18 16:07:51.265, 0, 1785 MHz, 2619 MHz, 91.83 W, 0 %, 693 MiB
2026/09/18 16:07:51.365, 0, 1785 MHz, 2619 MHz, 91.83 W, 0 %, 693 MiB
2026/09/18 16:07:51.465, 0, 1785 MHz, 2619 MHz, 91.82 W, 0 %, 1775 MiB
2026/09/18 16:07:51.565, 0, 1785 MHz, 2619 MHz, 91.80 W, 0 %, 1775 MiB
2026/09/18 16:07:51.666, 0, 1785 MHz, 2619 MHz, 91.82 W, 0 %, 1775 MiB
2026/09/18 16:07:51.766, 0, 1785 MHz, 2619 MHz, 91.84 W, 0 %, 1775 MiB
2026/09/18 16:07:51.866, 0, 1785 MHz, 2619 MHz, 91.85 W, 0 %, 1775 MiB
2026/09/18 16:07:51.966, 0, 1785 MHz, 2619 MHz, 91.85 W, 0 %, 1777 MiB
2026/09/18 16:07:52.066, 0, 1785 MHz, 2619 MHz, 91.82 W, 0 %, 1939 MiB
2026/09/18 16:07:52.166, 0, 1785 MHz, 2619 MHz, 91.86 W, 0 %, 1939 MiB
2026/09/18 16:07:52.267, 0, 1785 MHz, 2619 MHz, 91.87 W, 0 %, 1939 MiB
2026/09/18 16:07:52.367, 0, 1785 MHz, 2619 MHz, 91.89 W, 0 %, 1939 MiB
2026/09/18 16:07:52.467, 0, 1785 MHz, 2619 MHz, 91.89 W, 0 %, 1939 MiB
2026/09/18 16:07:52.567, 0, 1785 MHz, 2619 MHz, 91.91 W, 0 %, 1939 MiB
2026/09/18 16:07:52.667, 0, 1785 MHz, 2619 MHz, 91.90 W, 0 %, 1939 MiB
2026/09/18 16:07:52.767, 0, 1785 MHz, 2619 MHz, 91.90 W, 0 %, 1939 MiB
2026/09/18 16:07:52.868, 0, 1785 MHz, 2619 MHz, 91.91 W, 0 %, 1939 MiB
2026/09/18 16:07:52.968, 0, 1785 MHz, 2619 MHz, 91.92 W, 0 %, 1939 MiB
2026/09/18 16:07:53.068, 0, 1785 MHz, 2619 MHz, 91.94 W, 0 %, 1939 MiB
2026/09/18 16:07:53.168, 0, 1785 MHz, 2619 MHz, 91.94 W, 0 %, 1939 MiB
2026/09/18 16:07:53.268, 0, 1785 MHz, 2619 MHz, 91.93 W, 0 %, 1939 MiB
2026/09/18 16:07:53.368, 0, 1785 MHz, 2619 MHz, 91.92 W, 0 %, 1939 MiB
2026/09/18 16:07:53.469, 0, 1785 MHz, 2619 MHz, 91.92 W, 0 %, 1939 MiB
