sample,timestamp,wall_time,phase,agg_nodes,bw_mbps,iops,lat_mean_us,lat_p50_us,lat_p95_us,lat_p99_us,lat_max_us
117,2026-09-13T19:34:20-05:00,2369,load_2,4,3802.2,30417,2102.2,2072.6,2474.0,2768.9,4005.5
118,2026-09-13T19:34:41-05:00,2390,load_2,4,3813.2,30506,2096.0,2056.2,2474.0,2768.9,4091.7
119,2026-09-13T19:35:01-05:00,2410,load_2,4,3804.5,30436,2100.9,2056.2,2474.0,2768.9,3914.9
120,2026-09-13T19:35:22-05:00,2431,load_2,4,3815.1,30521,2095.1,2056.2,2441.2,2703.4,4469.1
121,2026-09-13T19:35:42-05:00,2451,load_2,4,3792.2,30338,2107.9,2072.6,2474.0,2736.1,3881.1
122,2026-09-13T19:36:03-05:00,2472,load_2,4,3794.8,30359,2106.3,2072.6,2506.8,2768.9,3825.9
123,2026-09-13T19:36:23-05:00,2492,load_2,4,3840.0,30720,2081.6,2039.8,2474.0,2768.9,3860.1
124,2026-09-13T19:36:43-05:00,2512,load_2,4,3818.8,30550,2093.3,2056.2,2441.2,2736.1,4090.9
125,2026-09-13T19:37:04-05:00,2533,load_2,4,3787.7,30302,2110.3,2072.6,2506.8,2768.9,4244.8
126,2026-09-13T19:37:24-05:00,2553,load_2,4,3874.1,30993,2063.3,2023.4,2441.2,2736.1,4242.6
127,2026-09-13T19:37:45-05:00,2574,load_2,4,3846.0,30768,2078.1,2039.8,2474.0,2736.1,4073.2
128,2026-09-13T19:38:05-05:00,2594,load_2,4,3830.9,30647,2086.6,2056.2,2441.2,2736.1,4775.3
129,2026-09-13T19:38:26-05:00,2615,load_2,4,3816.0,30528,2094.7,2056.2,2441.2,2703.4,3894.0
130,2026-09-13T19:38:46-05:00,2635,load_2,4,3857.6,30860,2072.0,2039.8,2441.2,2736.1,4004.7
131,2026-09-13T19:39:06-05:00,2655,load_2,4,3837.4,30699,2083.0,2039.8,2441.2,2736.1,4112.4
132,2026-09-13T19:39:27-05:00,2676,load_2,4,3829.9,30639,2087.0,2056.2,2441.2,2736.1,4006.9
133,2026-09-13T19:39:47-05:00,2696,load_2,4,3809.8,30478,2098.0,2056.2,2474.0,2736.1,4293.4
134,2026-09-13T19:40:08-05:00,2717,recover_2,4,3821.8,30575,2091.5,2056.2,2474.0,2703.4,3727.8
135,2026-09-13T19:40:28-05:00,2737,recover_2,4,3787.6,30301,2110.2,2072.6,2506.8,2768.9,4238.2
136,2026-09-13T19:40:49-05:00,2758,recover_2,4,3794.2,30354,2106.9,2072.6,2474.0,2768.9,4309.6
137,2026-09-13T19:41:09-05:00,2778,recover_2,4,3814.5,30516,2095.4,2056.2,2474.0,2736.1,10594.2
138,2026-09-13T19:41:29-05:00,2798,recover_2,4,3819.0,30552,2092.9,2056.2,2474.0,2736.1,4086.3
139,2026-09-13T19:41:50-05:00,2819,recover_2,4,3792.8,30342,2107.6,2072.6,2474.0,2736.1,3813.1
140,2026-09-13T19:42:10-05:00,2839,recover_2,4,3809.6,30477,2098.2,2056.2,2474.0,2736.1,6540.7
141,2026-09-13T19:42:31-05:00,2860,recover_2,4,3784.4,30275,2112.1,2072.6,2506.8,2768.9,4130.9
142,2026-09-13T19:42:51-05:00,2880,recover_2,4,3801.0,30408,2102.7,2072.6,2506.8,2768.9,4136.4
143,2026-09-13T19:43:11-05:00,2900,recover_2,4,3813.1,30505,2096.3,2056.2,2474.0,2736.1,3889.9
144,2026-09-13T19:43:32-05:00,2921,recover_2,4,3808.8,30470,2098.7,2056.2,2474.0,2736.1,4364.2
145,2026-09-13T19:43:52-05:00,2941,recover_2,4,3810.5,30484,2097.8,2056.2,2474.0,2768.9,4014.5
146,2026-09-13T19:44:13-05:00,2962,recover_2,4,3830.3,30642,2086.8,2056.2,2441.2,2736.1,4031.8
147,2026-09-13T19:44:33-05:00,2982,recover_2,4,3887.3,31098,2056.1,2023.4,2441.2,2703.4,3765.5
148,2026-09-13T19:44:54-05:00,3003,recover_2,4,3865.0,30920,2067.8,2023.4,2441.2,2736.1,4119.0
149,2026-09-13T19:45:14-05:00,3023,recover_2,4,3776.3,30211,2116.8,2072.6,2506.8,2768.9,4225.9
150,2026-09-13T19:45:34-05:00,3043,recover_2,4,3803.2,30425,2101.8,2056.2,2506.8,2768.9,3952.9
151,2026-09-13T19:45:55-05:00,3064,recover_2,4,3802.9,30423,2102.0,2072.6,2474.0,2768.9,4313.1
152,2026-09-13T19:46:15-05:00,3084,recover_2,4,3818.6,30549,2093.2,2056.2,2474.0,2736.1,4551.8
153,2026-09-13T19:46:36-05:00,3105,recover_2,4,3863.3,30906,2068.8,2039.8,2441.2,2703.4,4525.5
154,2026-09-13T19:46:56-05:00,3125,recover_2,4,3827.7,30621,2088.2,2056.2,2441.2,2736.1,4235.7
155,2026-09-13T19:47:17-05:00,3146,recover_2,4,3832.6,30661,2085.5,2056.2,2474.0,2736.1,3823.9
156,2026-09-13T19:47:37-05:00,3166,recover_2,4,3797.8,30383,2104.5,2072.6,2474.0,2768.9,6794.2
157,2026-09-13T19:47:57-05:00,3186,recover_2,4,3789.2,30313,2109.5,2072.6,2474.0,2768.9,3750.9
158,2026-09-13T19:48:18-05:00,3207,recover_2,4,3802.5,30420,2102.2,2072.6,2474.0,2768.9,4320.5
159,2026-09-13T19:48:38-05:00,3227,recover_2,4,3756.2,30049,2127.9,2089.0,2506.8,2768.9,4250.9
160,2026-09-13T19:48:59-05:00,3248,recover_2,4,3816.7,30533,2094.4,2056.2,2474.0,2768.9,4159.9
161,2026-09-13T19:49:19-05:00,3268,recover_2,4,3835.1,30681,2084.3,2039.8,2474.0,2736.1,4358.0
162,2026-09-13T19:49:39-05:00,3288,recover_2,4,3827.0,30616,2088.8,2056.2,2441.2,2703.4,4082.0
163,2026-09-13T19:50:00-05:00,3309,quiet_3,16,3836.7,30693,2083.5,2039.8,2474.0,2736.1,7878.6
164,2026-09-13T19:50:20-05:00,3329,quiet_3,16,3819.2,30554,2093.0,2056.2,2474.0,2736.1,3750.9
165,2026-09-13T19:50:41-05:00,3350,quiet_3,16,3790.3,30322,2109.0,2072.6,2474.0,2768.9,3880.0
166,2026-09-13T19:51:01-05:00,3370,quiet_3,16,3788.3,30307,2109.9,2072.6,2474.0,2736.1,4443.5
167,2026-09-13T19:51:22-05:00,3391,quiet_3,16,3782.1,30257,2113.2,2072.6,2506.8,2801.7,3989.9
168,2026-09-13T19:51:42-05:00,3411,quiet_3,16,3819.5,30556,2092.9,2056.2,2474.0,2736.1,4164.1
169,2026-09-13T19:52:02-05:00,3431,quiet_3,16,3780.0,30240,2114.5,2072.6,2506.8,2768.9,4069.9
170,2026-09-13T19:52:23-05:00,3452,quiet_3,16,3812.7,30502,2096.3,2056.2,2474.0,2703.4,3685.0
171,2026-09-13T19:52:43-05:00,3472,quiet_3,16,3828.3,30626,2087.9,2056.2,2474.0,2736.1,4158.1
172,2026-09-13T19:53:04-05:00,3493,quiet_3,16,3837.5,30700,2083.0,2056.2,2441.2,2736.1,4310.1
173,2026-09-13T19:53:24-05:00,3513,quiet_3,16,3845.0,30760,2075.2,2039.8,2441.2,2703.4,3940.1
