timestamp, index, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2026/09/12 13:21:51.177, 0, 146.51 W, 100 %, 5 %, 34169 MiB
2026/09/12 13:21:51.177, 1, 63.11 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:51.177, 2, 64.48 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:51.177, 3, 63.51 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:52.177, 0, 146.80 W, 100 %, 5 %, 34169 MiB
2026/09/12 13:21:52.177, 1, 63.11 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:52.177, 2, 64.48 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:52.177, 3, 63.48 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:53.177, 0, 146.63 W, 100 %, 4 %, 34169 MiB
2026/09/12 13:21:53.177, 1, 63.10 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:53.177, 2, 64.49 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:53.177, 3, 63.52 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:54.177, 0, 146.57 W, 100 %, 3 %, 34169 MiB
2026/09/12 13:21:54.178, 1, 63.11 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:54.178, 2, 64.47 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:54.178, 3, 63.54 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:55.178, 0, 146.82 W, 100 %, 1 %, 34169 MiB
2026/09/12 13:21:55.178, 1, 63.11 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:55.178, 2, 64.50 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:55.178, 3, 63.52 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:56.178, 0, 156.37 W, 100 %, 8 %, 34169 MiB
2026/09/12 13:21:56.178, 1, 63.09 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:56.178, 2, 64.46 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:56.178, 3, 63.55 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:57.178, 0, 147.15 W, 100 %, 4 %, 34169 MiB
2026/09/12 13:21:57.178, 1, 63.09 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:57.178, 2, 64.51 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:57.178, 3, 63.46 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:58.178, 0, 146.80 W, 100 %, 4 %, 34169 MiB
2026/09/12 13:21:58.178, 1, 63.12 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:58.179, 2, 64.46 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:58.179, 3, 63.54 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:59.179, 0, 146.80 W, 100 %, 3 %, 34169 MiB
2026/09/12 13:21:59.179, 1, 63.11 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:59.179, 2, 64.52 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:59.179, 3, 63.50 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:00.179, 0, 146.67 W, 100 %, 1 %, 34169 MiB
2026/09/12 13:22:00.179, 1, 63.10 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:00.179, 2, 64.49 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:00.179, 3, 63.48 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:01.179, 0, 146.85 W, 100 %, 1 %, 34169 MiB
2026/09/12 13:22:01.179, 1, 63.09 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:01.179, 2, 64.46 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:01.179, 3, 63.45 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:02.179, 0, 147.39 W, 100 %, 1 %, 34169 MiB
2026/09/12 13:22:02.179, 1, 63.11 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:02.179, 2, 64.49 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:02.179, 3, 63.52 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:03.180, 0, 146.96 W, 100 %, 1 %, 34169 MiB
2026/09/12 13:22:03.180, 1, 63.10 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:03.180, 2, 64.46 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:03.180, 3, 63.51 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:04.180, 0, 147.33 W, 100 %, 1 %, 34169 MiB
2026/09/12 13:22:04.180, 1, 63.10 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:04.180, 2, 64.48 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:04.180, 3, 63.51 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:05.180, 0, 156.11 W, 100 %, 1 %, 34169 MiB
2026/09/12 13:22:05.180, 1, 63.11 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:05.180, 2, 64.51 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:05.180, 3, 63.44 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:06.180, 0, 146.66 W, 100 %, 1 %, 34169 MiB
2026/09/12 13:22:06.180, 1, 63.10 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:06.180, 2, 64.50 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:06.180, 3, 63.47 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:07.181, 0, 147.13 W, 100 %, 1 %, 34169 MiB
2026/09/12 13:22:07.181, 1, 63.13 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:07.181, 2, 64.50 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:07.181, 3, 63.48 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:08.181, 0, 147.53 W, 100 %, 1 %, 34169 MiB
2026/09/12 13:22:08.181, 1, 63.12 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:08.181, 2, 64.49 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:08.181, 3, 63.46 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:09.181, 0, 147.25 W, 100 %, 1 %, 34169 MiB
2026/09/12 13:22:09.181, 1, 63.11 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:09.181, 2, 64.49 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:09.181, 3, 63.50 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:10.181, 0, 146.63 W, 100 %, 1 %, 34169 MiB
2026/09/12 13:22:10.181, 1, 63.11 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:10.181, 2, 64.51 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:10.181, 3, 63.54 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:11.182, 0, 147.35 W, 100 %, 2 %, 34169 MiB
2026/09/12 13:22:11.182, 1, 63.11 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:11.182, 2, 64.50 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:11.182, 3, 63.45 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:12.182, 0, 146.43 W, 100 %, 3 %, 34169 MiB
2026/09/12 13:22:12.182, 1, 63.11 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:12.182, 2, 64.48 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:12.182, 3, 63.47 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:13.182, 0, 156.30 W, 100 %, 1 %, 34169 MiB
2026/09/12 13:22:13.182, 1, 63.10 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:13.182, 2, 64.49 W, 0 %, 0 %, 4 MiB
2026/09/12 13:22:13.182, 3, 63.52 W, 0 %, 0 %, 4 MiB
