timestamp, index, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2026/09/12 15:06:03.935, 0, 182.17 W, 100 %, 7 %, 83463 MiB
2026/09/12 15:06:03.935, 1, 63.09 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:03.935, 2, 64.42 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:03.935, 3, 63.55 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:04.935, 0, 179.27 W, 100 %, 6 %, 83463 MiB
2026/09/12 15:06:04.936, 1, 63.10 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:04.936, 2, 64.47 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:04.936, 3, 63.56 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:05.936, 0, 172.35 W, 100 %, 5 %, 83463 MiB
2026/09/12 15:06:05.936, 1, 63.10 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:05.936, 2, 64.50 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:05.936, 3, 63.53 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:06.936, 0, 172.52 W, 100 %, 5 %, 83463 MiB
2026/09/12 15:06:06.936, 1, 63.08 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:06.936, 2, 64.50 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:06.936, 3, 63.57 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:07.936, 0, 169.82 W, 100 %, 7 %, 83463 MiB
2026/09/12 15:06:07.936, 1, 63.11 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:07.936, 2, 64.47 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:07.936, 3, 63.56 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:08.936, 0, 179.65 W, 100 %, 8 %, 83463 MiB
2026/09/12 15:06:08.936, 1, 63.10 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:08.936, 2, 64.45 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:08.937, 3, 63.50 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:09.937, 0, 177.78 W, 100 %, 4 %, 83463 MiB
