timestamp, index, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2026/09/12 14:11:23.554, 3, 63.48 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:24.554, 0, 181.13 W, 100 %, 8 %, 83463 MiB
2026/09/12 14:11:24.554, 1, 63.09 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:24.554, 2, 64.47 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:24.554, 3, 63.43 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:25.554, 0, 180.36 W, 100 %, 9 %, 83463 MiB
2026/09/12 14:11:25.555, 1, 63.08 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:25.555, 2, 64.46 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:25.555, 3, 63.46 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:26.555, 0, 180.71 W, 100 %, 7 %, 83463 MiB
2026/09/12 14:11:26.555, 1, 63.10 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:26.555, 2, 64.45 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:26.555, 3, 63.47 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:27.555, 0, 180.44 W, 100 %, 7 %, 83463 MiB
2026/09/12 14:11:27.555, 1, 63.09 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:27.555, 2, 64.47 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:27.555, 3, 63.49 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:28.555, 0, 178.36 W, 100 %, 7 %, 83463 MiB
2026/09/12 14:11:28.555, 1, 63.08 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:28.555, 2, 64.47 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:28.555, 3, 63.45 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:29.555, 0, 180.30 W, 100 %, 7 %, 83463 MiB
2026/09/12 14:11:29.556, 1, 63.09 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:29.556, 2, 64.41 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:29.556, 3, 63.49 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:30.556, 0, 178.45 W, 100 %, 7 %, 83463 MiB
2026/09/12 14:11:30.556, 1, 63.07 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:30.556, 2, 64.51 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:30.556, 3, 63.45 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:31.556, 0, 181.19 W, 100 %, 7 %, 83463 MiB
2026/09/12 14:11:31.556, 1, 63.10 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:31.556, 2, 64.48 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:31.556, 3, 63.54 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:32.556, 0, 178.82 W, 100 %, 7 %, 83463 MiB
2026/09/12 14:11:32.556, 1, 63.09 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:32.556, 2, 64.46 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:32.556, 3, 63.58 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:33.556, 0, 180.54 W, 100 %, 7 %, 83463 MiB
2026/09/12 14:11:33.557, 1, 63.09 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:33.557, 2, 64.50 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:33.557, 3, 63.47 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:34.557, 0, 178.45 W, 100 %, 7 %, 83463 MiB
2026/09/12 14:11:34.557, 1, 63.09 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:34.557, 2, 64.45 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:34.557, 3, 63.55 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:35.557, 0, 180.53 W, 100 %, 7 %, 83463 MiB
2026/09/12 14:11:35.557, 1, 63.09 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:35.557, 2, 64.46 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:35.557, 3, 63.52 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:36.557, 0, 178.78 W, 100 %, 7 %, 83463 MiB
2026/09/12 14:11:36.557, 1, 63.08 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:36.557, 2, 64.51 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:36.557, 3, 63.53 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:37.557, 0, 181.34 W, 100 %, 7 %, 83463 MiB
2026/09/12 14:11:37.557, 1, 63.08 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:37.557, 2, 64.48 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:37.558, 3, 63.51 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:38.558, 0, 178.79 W, 100 %, 7 %, 83463 MiB
2026/09/12 14:11:38.558, 1, 63.10 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:38.558, 2, 64.48 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:38.558, 3, 63.51 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:39.558, 0, 180.37 W, 100 %, 7 %, 83463 MiB
2026/09/12 14:11:39.558, 1, 63.08 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:39.558, 2, 64.50 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:39.558, 3, 63.52 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:40.558, 0, 177.96 W, 100 %, 7 %, 83463 MiB
2026/09/12 14:11:40.558, 1, 63.08 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:40.558, 2, 64.49 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:40.558, 3, 63.44 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:41.558, 0, 180.36 W, 100 %, 8 %, 83463 MiB
2026/09/12 14:11:41.558, 1, 63.09 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:41.558, 2, 64.51 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:41.558, 3, 63.48 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:42.559, 0, 173.72 W, 100 %, 4 %, 83463 MiB
2026/09/12 14:11:42.559, 1, 63.08 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:42.559, 2, 64.50 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:42.559, 3, 63.49 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:43.559, 0, 173.01 W, 100 %, 4 %, 83463 MiB
2026/09/12 14:11:43.559, 1, 63.10 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:43.559, 2, 64.48 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:43.559, 3, 63.50 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:44.559, 0, 172.36 W, 100 %, 5 %, 83463 MiB
2026/09/12 14:11:44.559, 1, 63.08 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:44.559, 2, 64.44 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:44.559, 3, 63.43 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:45.559, 0, 177.65 W, 100 %, 8 %, 83463 MiB
2026/09/12 14:11:45.559, 1, 63.08 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:45.559, 2, 64.46 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:45.559, 3, 63.40 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:46.560, 0, 181.83 W, 100 %, 7 %, 83463 MiB
2026/09/12 14:11:46.560, 1, 63.08 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:46.560, 2, 64.43 W, 0 %, 0 %, 4 MiB
