timestamp, index, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/15 20:55:35.164, 0, 1785 MHz, 2619 MHz, 89.29 W, 2 %, 16059 MiB
2026/09/15 20:55:35.264, 0, 1785 MHz, 2619 MHz, 89.40 W, 14 %, 16059 MiB
2026/09/15 20:55:35.364, 0, 1785 MHz, 2619 MHz, 89.51 W, 14 %, 16059 MiB
2026/09/15 20:55:35.464, 0, 1785 MHz, 2619 MHz, 89.59 W, 14 %, 16059 MiB
2026/09/15 20:55:35.564, 0, 1785 MHz, 2619 MHz, 89.68 W, 14 %, 16059 MiB
2026/09/15 20:55:35.665, 0, 1785 MHz, 2619 MHz, 89.76 W, 12 %, 16059 MiB
2026/09/15 20:55:35.765, 0, 1785 MHz, 2619 MHz, 89.84 W, 12 %, 16059 MiB
2026/09/15 20:55:35.865, 0, 1785 MHz, 2619 MHz, 89.93 W, 13 %, 16059 MiB
2026/09/15 20:55:35.965, 0, 1785 MHz, 2619 MHz, 89.97 W, 13 %, 16059 MiB
2026/09/15 20:55:36.065, 0, 1785 MHz, 2619 MHz, 90.08 W, 7 %, 16059 MiB
2026/09/15 20:55:36.165, 0, 1785 MHz, 2619 MHz, 90.07 W, 7 %, 16059 MiB
2026/09/15 20:55:36.265, 0, 1785 MHz, 2619 MHz, 90.07 W, 15 %, 16059 MiB
2026/09/15 20:55:36.366, 0, 1785 MHz, 2619 MHz, 90.06 W, 15 %, 16059 MiB
2026/09/15 20:55:36.466, 0, 1785 MHz, 2619 MHz, 90.08 W, 14 %, 16059 MiB
2026/09/15 20:55:36.566, 0, 1785 MHz, 2619 MHz, 90.08 W, 14 %, 16059 MiB
2026/09/15 20:55:36.666, 0, 1785 MHz, 2619 MHz, 90.09 W, 13 %, 16059 MiB
2026/09/15 20:55:36.766, 0, 1785 MHz, 2619 MHz, 90.01 W, 13 %, 16059 MiB
2026/09/15 20:55:36.866, 0, 1785 MHz, 2619 MHz, 90.03 W, 4 %, 16059 MiB
2026/09/15 20:55:36.966, 0, 1785 MHz, 2619 MHz, 90.07 W, 4 %, 16059 MiB
2026/09/15 20:55:37.066, 0, 1785 MHz, 2619 MHz, 89.96 W, 6 %, 16059 MiB
2026/09/15 20:55:37.167, 0, 1785 MHz, 2619 MHz, 89.86 W, 6 %, 16059 MiB
2026/09/15 20:55:37.267, 0, 1785 MHz, 2619 MHz, 89.78 W, 0 %, 16059 MiB
2026/09/15 20:55:37.367, 0, 1785 MHz, 2619 MHz, 89.67 W, 0 %, 16059 MiB
2026/09/15 20:55:37.467, 0, 1785 MHz, 2619 MHz, 89.57 W, 0 %, 16059 MiB
2026/09/15 20:55:37.567, 0, 1785 MHz, 2619 MHz, 89.47 W, 0 %, 16059 MiB
2026/09/15 20:55:37.667, 0, 1785 MHz, 2619 MHz, 89.42 W, 0 %, 16615 MiB
